# GTA IV Functions extracted by Ghidra
# Format: address,name
0x82177970,FUN_82177970
0x821779B8,FUN_821779b8
0x82177AB8,FUN_82177ab8
0x82177B98,FUN_82177b98
0x82177C00,FUN_82177c00
0x82177EB8,FUN_82177eb8
0x82177EE8,FUN_82177ee8
0x821793A0,FUN_821793a0
0x82179F60,FUN_82179f60
0x8217AC50,FUN_8217ac50
0x8217AF18,FUN_8217af18
0x8217B4E8,FUN_8217b4e8
0x8217B758,FUN_8217b758
0x8217B870,FUN_8217b870
0x8217BDC0,FUN_8217bdc0
0x8217C0B0,FUN_8217c0b0
0x8217C3F0,FUN_8217c3f0
0x8217C808,FUN_8217c808
0x8217D0D8,FUN_8217d0d8
0x8217D400,FUN_8217d400
0x8217D7A8,FUN_8217d7a8
0x8217DC88,FUN_8217dc88
0x8217E670,FUN_8217e670
0x8217E9B8,FUN_8217e9b8
0x8217EDB0,FUN_8217edb0
0x8217F2E8,FUN_8217f2e8
0x8217FD60,FUN_8217fd60
0x821800A8,FUN_821800a8
0x82180490,FUN_82180490
0x821809D0,FUN_821809d0
0x82188210,FUN_82188210
0x82188418,FUN_82188418
0x82188658,FUN_82188658
0x82188900,FUN_82188900
0x82188C28,FUN_82188c28
0x82188EA0,FUN_82188ea0
0x82189178,FUN_82189178
0x82189528,FUN_82189528
0x821899F0,FUN_821899f0
0x82189D18,FUN_82189d18
0x8218A110,FUN_8218a110
0x8218A6A0,FUN_8218a6a0
0x8218AE48,FUN_8218ae48
0x8218B0D8,FUN_8218b0d8
0x8218B3D0,FUN_8218b3d0
0x8218B798,FUN_8218b798
0x8218BC68,FUN_8218bc68
0x8218BCF0,FUN_8218bcf0
0x8218BE28,FUN_8218be28
0x8218BE78,FUN_8218be78
0x8218BEA8,thunk_FUN_827d89b8
0x8218BEB0,FUN_8218beb0
0x8218BF20,FUN_8218bf20
0x8218C018,FUN_8218c018
0x8218C088,FUN_8218c088
0x8218C2A8,FUN_8218c2a8
0x8218C600,FUN_8218c600
0x8218C908,FUN_8218c908
0x8218CB30,FUN_8218cb30
0x8218CC20,FUN_8218cc20
0x8218CCC0,FUN_8218ccc0
0x8218D0B0,FUN_8218d0b0
0x8218D1E8,FUN_8218d1e8
0x8218DA98,FUN_8218da98
0x8218DE90,FUN_8218de90
0x8218DED8,FUN_8218ded8
0x8218DF58,FUN_8218df58
0x8218E520,FUN_8218e520
0x8218F138,FUN_8218f138
0x8218F1C0,FUN_8218f1c0
0x82190180,FUN_82190180
0x821903B0,FUN_821903b0
0x82190BB0,FUN_82190bb0
0x82191770,FUN_82191770
0x82191898,FUN_82191898
0x82191C40,FUN_82191c40
0x82191D98,FUN_82191d98
0x82191EA8,FUN_82191ea8
0x82191FE0,FUN_82191fe0
0x82192648,FUN_82192648
0x82192840,FUN_82192840
0x821928D0,FUN_821928d0
0x82192980,FUN_82192980
0x82192A60,thunk_FUN_827e87a0
0x82192A78,FUN_82192a78
0x82192E00,FUN_82192e00
0x82193CB0,FUN_82193cb0
0x82193E00,FUN_82193e00
0x82194198,FUN_82194198
0x82194298,FUN_82194298
0x821945A8,FUN_821945a8
0x821951E8,FUN_821951e8
0x82195258,FUN_82195258
0x82195528,FUN_82195528
0x82195DE8,FUN_82195de8
0x82196D88,FUN_82196d88
0x82196E90,FUN_82196e90
0x82197088,FUN_82197088
0x82197450,FUN_82197450
0x82197528,FUN_82197528
0x821978D0,FUN_821978d0
0x82197A30,FUN_82197a30
0x82197AC8,FUN_82197ac8
0x82197AF8,FUN_82197af8
0x82197B80,FUN_82197b80
0x82197C00,FUN_82197c00
0x82197C10,FUN_82197c10
0x82197C18,FUN_82197c18
0x82197C78,FUN_82197c78
0x82197E98,FUN_82197e98
0x82197EB8,FUN_82197eb8
0x82197EF8,FUN_82197ef8
0x82198160,FUN_82198160
0x821981C0,FUN_821981c0
0x821985F0,FUN_821985f0
0x82198680,FUN_82198680
0x82198988,FUN_82198988
0x82198E98,FUN_82198e98
0x82199658,FUN_82199658
0x821996E0,FUN_821996e0
0x82199B50,FUN_82199b50
0x82199E88,FUN_82199e88
0x8219A068,FUN_8219a068
0x8219A188,FUN_8219a188
0x8219A2E8,FUN_8219a2e8
0x8219A428,FUN_8219a428
0x8219ADF0,FUN_8219adf0
0x8219AEB8,FUN_8219aeb8
0x8219B610,FUN_8219b610
0x8219B620,FUN_8219b620
0x8219B640,FUN_8219b640
0x8219B650,FUN_8219b650
0x8219B660,FUN_8219b660
0x8219B670,FUN_8219b670
0x8219B680,FUN_8219b680
0x8219B690,FUN_8219b690
0x8219B6A0,FUN_8219b6a0
0x8219B6B0,FUN_8219b6b0
0x8219B6C0,FUN_8219b6c0
0x8219B6D0,FUN_8219b6d0
0x8219B6E0,FUN_8219b6e0
0x8219B6F0,FUN_8219b6f0
0x8219B700,FUN_8219b700
0x8219B710,FUN_8219b710
0x8219B720,FUN_8219b720
0x8219BAE8,FUN_8219bae8
0x8219E978,FUN_8219e978
0x8219EA28,FUN_8219ea28
0x8219EAD0,FUN_8219ead0
0x8219EB48,FUN_8219eb48
0x8219EC30,FUN_8219ec30
0x8219ED98,FUN_8219ed98
0x8219EDC0,FUN_8219edc0
0x8219EE40,FUN_8219ee40
0x8219EFC8,FUN_8219efc8
0x8219F148,FUN_8219f148
0x8219F240,FUN_8219f240
0x8219F6D0,FUN_8219f6d0
0x8219F720,thunk_FUN_8285db10
0x8219F778,FUN_8219f778
0x8219F808,FUN_8219f808
0x8219F878,FUN_8219f878
0x8219F8D8,FUN_8219f8d8
0x8219F938,FUN_8219f938
0x8219F948,FUN_8219f948
0x8219F9A0,FUN_8219f9a0
0x8219FB60,FUN_8219fb60
0x8219FD88,FUN_8219fd88
0x821A03A0,FUN_821a03a0
0x821A0A38,FUN_821a0a38
0x821A0AB0,FUN_821a0ab0
0x821A0BD0,FUN_821a0bd0
0x821A0C28,FUN_821a0c28
0x821A0D28,FUN_821a0d28
0x821A1238,FUN_821a1238
0x821A12E8,FUN_821a12e8
0x821A1430,FUN_821a1430
0x821A44E8,FUN_821a44e8
0x821A4B58,FUN_821a4b58
0x821A6288,FUN_821a6288
0x821A71F0,FUN_821a71f0
0x821A8060,FUN_821a8060
0x821A8260,FUN_821a8260
0x821A8278,FUN_821a8278
0x821A82B0,FUN_821a82b0
0x821A82E8,FUN_821a82e8
0x821A8318,FUN_821a8318
0x821A8350,FUN_821a8350
0x821A83C0,FUN_821a83c0
0x821A8458,FUN_821a8458
0x821A8478,FUN_821a8478
0x821A84A8,FUN_821a84a8
0x821A84D8,FUN_821a84d8
0x821A86B8,FUN_821a86b8
0x821A8708,FUN_821a8708
0x821A8758,FUN_821a8758
0x821A87A8,FUN_821a87a8
0x821A8828,FUN_821a8828
0x821A8838,FUN_821a8838
0x821A8868,FUN_821a8868
0x821AA210,FUN_821aa210
0x821AA660,FUN_821aa660
0x821AA958,FUN_821aa958
0x821AAE88,FUN_821aae88
0x821AB0E8,FUN_821ab0e8
0x821AB160,FUN_821ab160
0x821AB1C0,FUN_821ab1c0
0x821AB2C8,FUN_821ab2c8
0x821AB5F8,FUN_821ab5f8
0x821AB7B0,FUN_821ab7b0
0x821AB8F8,FUN_821ab8f8
0x821AB9D0,FUN_821ab9d0
0x821ABA98,FUN_821aba98
0x821ABAF0,FUN_821abaf0
0x821ABB48,FUN_821abb48
0x821B0EE0,FUN_821b0ee0
0x821B0FA8,FUN_821b0fa8
0x821B23D8,FUN_821b23d8
0x821B2E60,FUN_821b2e60
0x821B2ED8,FUN_821b2ed8
0x821B2F60,FUN_821b2f60
0x821B31E8,FUN_821b31e8
0x821B3778,FUN_821b3778
0x821B3CF0,FUN_821b3cf0
0x821B4088,FUN_821b4088
0x821B4220,FUN_821b4220
0x821B4428,FUN_821b4428
0x821B4490,FUN_821b4490
0x821B4580,FUN_821b4580
0x821B4CA8,FUN_821b4ca8
0x821B5D48,FUN_821b5d48
